year,date,subject,question_no,question,option_A,option_B,option_C,option_D,correct_answers,notes
110,2021/11/6,保健食品概論,1,"何者非向衛生福利部申請國產維生素類錠狀膠囊狀食品查驗登記之審查資料表之必填資
料？ a.產品中文名稱 b.產品外文外稱 c.產品製程 d.產品包裝工廠名稱",ab,bd,ac,cd,B,
110,2021/10/2,保健食品概論,1,"食品中添加「矽酸鈣」作為品質改良劑時，使用限量為 2%以下，下列何者符合規定？ 
a.膠囊每顆500 mg中含有矽酸鈣 10 mg b.每150 kg食品中含有矽酸鈣 3 kg c.500顆錠
狀食品（每顆200 mg）總計含有矽酸鈣 20 g d.每25 kg食品中含有矽酸鈣 550 g",abcd,abc,abd,ab,D,
110,2021/11/6,保健食品概論,2,"特殊營養食品中之特定疾病配方食品除一般包裝食品規定標示事項外，應另標示以下何
項？ a.適用對象 b.產品可以改善何種疾病 c.「本品屬特定疾病配方食品，不適合一般
人食用，須經醫師或營養師指導使用」或等同意義之詞句 d.產品中所含特殊營養素之生
理功能",ab,cd,ac,bd,C,
110,2021/10/2,保健食品概論,2,國內對食品原料輔酵素 Q10的使用限制及標示規定，何者為非？,每日食用限量 30毫克,15歲以下小孩不宜食用，且需標示,懷孕或哺乳期間婦女不宜食用，且需標示,服用抗凝血藥品病患可酌量食用,D,
110,2021/11/6,保健食品概論,3,申請健康食品查驗的產品，對其保健功效評估報告的審查，何為為非？,試驗產品應是申請的最終產品,人體食用研究者應有人體研究倫理審查委員會同意書,動物實驗應有試驗執行機構之實驗動物照護及使用委員會或小組同意書,應有二批結果報告，其中至少一批檢驗完成日期需在三年內,D,
110,2021/10/2,保健食品概論,3,申請健康食品查驗的產品，對其保健功效評估報告的審查，何者為非？,試驗產品應是申請的最終產品,人體食用研究者應有人體研究倫理審查委員會同意書,動物實驗應有試驗執行機構之實驗動物照護及使用委員會或小組同意書,應有二批結果報告，其中至少一批檢驗完成日期需在三年內,D,
110,2021/11/6,保健食品概論,4,我國最早可供外銷的保健食品品項為何？,乳酸菌,紅麴,綠藻,雞精,C,
110,2021/10/2,保健食品概論,4,健康食品查驗登記新案申請案審核為應送驗確認者之後續，何者錯誤？,"經中央主管機關通知後應於一個月內依通知函說明事項，向地方政府衛生局送交產
品樣品",應繳納檢驗費,應送繳原裝完整樣品檢體,"逾期未將檢體送驗者，其申請案得逕予否准 
Aor",A,
110,2021/11/6,保健食品概論,5,目前以膠原蛋白為主原料並通過健康食品認證之產品，其主要訴求功效為何？,骨質保健,美白保濕,延緩衰老,輔助調整過敏體質 ,A,
110,2021/10/2,保健食品概論,5,依健康食品管理法申請健康食品查驗登記（個案審查）新案之規定，何者錯誤？,"申請案初審為資料不完整者，經通知後應於二個月內補送必要之文件資料。必要
時，得申請延長一個月",經通知補送必要之文件資料，逾期未補送完整者，其申請案得逕予否准,"經初審通過者，應於初審通過通知送達之次日起一個月內，並依通知指定之份數，
檢送經補正後之完整文件資料影本至中央衛生主管機關，免繳審查費","每件申請案產品每次僅受理乙項保健功效之查驗登記 
 
 
",C,
110,2021/11/6,保健食品概論,6,"依國內法規的規定，使用「蛹蟲草」為原料之食品，中文標示警語不需對誰提出不適合食
用的建議？",孕婦,兒童,高齡者,真菌過敏者,C,
110,2021/10/2,保健食品概論,6,"有關「包裝維生素礦物質類之錠狀膠囊狀食品營養標示應遵行事項」中對維生素 D 之規
定，下列何者錯誤？",維生素D之單位得標示「微克」或「μg」,有效數字不超過三位為原則,應加註明國際單位（IU）之含量標示,營養標示值之誤差允許範圍為 50%~150%,D,
110,2021/11/6,保健食品概論,7,我國所稱健康食品必須符合以下何種條件，得發給健康食品許可：,安全性評估試驗,安定性評估,證明無害人體健康之評估,以上皆是,D,
110,2021/10/2,保健食品概論,7,"以下何者不是包裝維生素礦物質類之錠狀膠囊狀食品營養標示，應遵行事項所規定之標示
內容？",「營養標示」之標題,每一份量（或每一份、每份）幾顆（或粒、錠）、本包裝所（含）幾份,於包裝容器上宣稱或自願標示之營養素含量,產品所含維生素、礦物質之生理功能,D,
110,2021/11/6,保健食品概論,8,有關向衛生福利部申請健康食品查驗登記，通過初審進入複審的案件，何者錯誤？,應繳納審查費,應檢送依初審結論補正的完整文件資料影本,應依通知指定之份數檢送資料,應於初審通過通知送達之次日起二個月內申請複審,D,
110,2021/10/2,保健食品概論,8,以下何者為取得衛福部健康食品查驗登記許可後，不可變更的項目？,產品中文名稱,增加包裝規格,配方中不影響產品之保健功效及安定性之抗氧化劑含量,配方中不影響產品之保健功效及安定性之色素含量,C,
110,2021/11/6,保健食品概論,9,食品原料標示時，對冬蟲夏草菌絲體的使用，何者敘述有誤？,要於外包加註「本產品非中藥材冬蟲夏草之製品」的醒語,完整「冬蟲夏草菌絲體」7 個字，字體大小要一致,需備菌株鑑定證明或分離來源等相關文件,可直接使用菌株英文名稱，不需中文名稱,D,
110,2021/10/2,保健食品概論,9,"業者向衛生福利部申請輸入錠狀、膠囊狀食品查驗登記許可文件有效期限之展延，何者不
是衛生福利部不予登記並發駁回書函之主要原因？",原許可文件已逾有效期限者,非原許可證有效期限期滿前三個月內辦理者,成分含量表與原登記內容不符者,未於提出申請時繳納審查費,D,
110,2021/11/6,保健食品概論,10,"以下何者為取得衛福部健康食品查驗登記許可後，得以申請變更的項目？（1）減少包裝
規格 （2）增加保健功效成分含量 （3）減少建議攝取量 （4）增加製造工廠",(1)(2),(2)(3),(3)(4),(1)(4) ,D,
110,2021/10/2,保健食品概論,10,下列何者不是健康食品護肝保健功效評估方法中，可進行的肝損傷模式？,疲勞性肝損傷,四氯化碳誘發化學性肝損傷,酒精液態飼料誘導酒精性脂肪肝,"止痛藥物乙醯胺基苯酚誘導化學性肝炎損傷 
",A,
110,2021/11/6,保健食品概論,11,有關健康食品查驗登記許可之展延登記申請，下列何者錯誤？,應繳納審查費,應檢附製造廠繼續製售之證明文件正本或產品原料成分含量表正本,應於原許可證到期前三個月前提出申請,每次申請，展延最多五年,C,
110,2021/10/2,保健食品概論,11,依衛生福利部公告之「包裝食品營養標示應遵行事項」之用詞定義，何者為非？,反式脂肪：指食品中非共軛反式脂肪（酸）之總和,糖：單醣、雙醣和多醣之總和,"膳食纖維：指人體小腸無法消化與吸收之三個以上單醣聚合之可食碳水化合物及木
質素","營養宣稱：指任何以說明、隱喻或暗示方式，表達該食品具有特定之熱量或營養素
性質",B,
110,2021/11/6,保健食品概論,12,"有關「包裝維生素礦物質類之錠狀膠囊狀食品營養標示應遵行事項」中對維生素 D 之規
定，下列何者錯誤？",維生素 D之單位得標示「微克」或「µg」,有效數字不超過三位為原則,應加註明國際單位（IU）之含量標示,營養標示值之誤差允許範圍為 50%~150%,D,
110,2021/10/2,保健食品概論,12,食品原料標示時，對冬蟲夏草菌絲體的使用，何者敘述有誤？,要於外包加註「本產品非中藥材冬蟲夏草之製品」的醒語,完整「冬蟲夏草菌絲體」7個字，字體大小要一致,需備菌株鑑定證明或分離來源等相關文件,可直接使用菌株英文名稱，不需中文名稱,D,
110,2021/11/6,保健食品概論,13,微生物類保健原料，申請健康食品時，需要附上：,購菌來源,菌種鑑定報告,菌株分型鑑別報告,以上皆要,D,
110,2021/10/2,保健食品概論,13,我國所稱健康食品必須符合以下何種條件，得發給健康食品許可：,安全性評估試驗,安定性評估,證明無害人體健康之評估,以上皆是,D,
110,2021/11/6,保健食品概論,14,糞腸球菌、尿腸球菌做為健康食品原料，需要的安全性證明，下列何者為非？,基因毒性試驗,90 天餵食毒性試驗,致癌性試驗,毒力相關因子檢測,C,
110,2021/10/2,保健食品概論,14,關於第二軌魚油類的健康食品規格審查標準，何者有誤？,以傳統供食用之魚類萃取製成粉狀、膠囊或錠狀之食品,所含ω-3脂肪酸之純度應為百分之三十至五十,可標示：「本產品可能有助於降低血中三酸甘油酯」,可以與大蒜、紅麴等組成複方產品,D,
110,2021/11/6,保健食品概論,15,中華民國 107 年 1 月 1 日生效的「健康食品應加標示事項」，要求那些事項？,加標保健用途、藥品區隔,加標請依建議攝取量食用,要求加註事項字體應與底色有區別,以上皆是 ,D,
110,2021/10/2,保健食品概論,15,糞腸球菌、尿腸球菌做為健康食品原料，需要的安全性證明，下列何者為非？,基因毒性試驗,90天餵食毒性試驗,致癌性試驗,毒力相關因子檢測 ,C,
110,2021/11/6,保健食品概論,16,健康食品必須標示效期為：,製造日期,有效期限,製造批號,有效日期、保存方法及條件,D,
110,2021/10/2,保健食品概論,16,"由黑麴菌絲體（Aspergillus niger mycelium）製備之食品原料幾丁聚醣（Chitosan），其中
何種毒素的含量應小於 1 ppb？",橘黴素（citrinin）,玉米赤黴毒素（zearalenone）,赭麴黴素-A（ochratoxin）,"伏馬黴素-B （fumonisin B ） 
1 1
Aor",C,
110,2021/11/6,保健食品概論,17,因發生福島輻射問題，全球食材原由日本供應，因而轉向台灣，主要為：,綠藻，藍藻,乳酸菌,雞精,漢方補品,A,
110,2021/10/2,保健食品概論,17,"下列有關我國目前對於國產及進口肉品中瘦肉精-萊克多巴胺（Ractopamine）殘留容
許量之敘述何者為正確？",進口豬牛肉品 10 ppb以下,國產豬牛肉品 10 ppb 以下,國產及進口家禽類肉品不得檢出,沒有特定規範,C,
110,2021/11/6,保健食品概論,18,健康食品第一軌申請許可作業流程為：,文件初審→評估結果審核→送驗確認→審核結果→核發許可證,文件初審→安全評估，功效評估→評估結果審核→送驗確認→審核結果→核發許可證,文件初審→功效評估→送驗確認→評估結果審核→審核結果→核發許可證,文件初審→審核結果→安全評估，功效評估→評估結果審核→送驗確認→核發許可證,B,
110,2021/10/2,保健食品概論,18,"兩種保健食品分別為牛樟芝固態培養菌絲體膠囊和牛樟芝椴木栽培子實體膠囊，欲申請健
康食品認證，請問此兩種產品共同需進行的安全性評估項目為何？a:基因毒性, b: 28天餵
食毒性試驗, c: 90天餵食毒性試驗, d:致畸試驗, e:致癌性試驗, f:繁殖試驗",a,"a,b","a,c,d","a,c,d,e,f",C,
110,2021/11/6,保健食品概論,19,"有一保健產品欲申請健康食品認證，有關進行安全性評估 28 天餵食毒性試驗時之試驗物
質投予途徑之考量，下列敘述，何者不正確？",一般採用胃管經口餵食,採用胃管經口餵食時之餵食體積需在 20 mL/kg動物體重以下,若試驗物質混入飼料或飲水中，則濃度不得超過 5%（w/w）,"當以胃管經口餵食，若在技術上可給予之最大劑量（但不得超過 1000 mg/kg），而
未顯現任何毒性徵兆，則以此劑量做為最高劑量",B,
110,2021/10/2,保健食品概論,19,"下列何者可作為食品原料使用？a.雪蓮（Saussurea involucrata）組織培養物，b.桑黃
（Phellinus linteus）菌絲體，c.印度仙人掌（Caralluma fimbriata）地上植株萃取物",a,ab,bc,abc,D,
110,2021/11/6,保健食品概論,20,下列有關乙型受體素-萊克多巴胺（Ractopamine）之敘述何者為不正確？,添加於動物飼料中可以增強家畜家禽的瘦肉比例,屬於類交感神經刺激劑,依規定其殘留容許量在牛肉及豬肉中為 10 ppb 以下,家禽類肉品中不得檢出 ,C,
110,2021/10/2,保健食品概論,20,下列有關河豚毒素（tetrodotoxin）之敘述，何者錯誤？,此毒素也存在於蠑螈,屬神經毒素,會抑制骨骼肌收縮,中毒時需儘速至醫院打抗毒血清 ,D,
110,2021/11/6,保健食品概論,21,"衛福部針對食品中真菌（黴菌）毒素訂有限量標準，有關真菌毒素：a.黃麴毒素 
（Aflatoxin） b.赭麴毒素 A（Ochratoxin A） c.棒麴毒素（Patulin） d.橘黴素（Citrinin），
 
上述有哪些訂有限量標準？",ab,cd,abc,abcd,D,
110,2021/10/2,保健食品概論,21,"下列有關二甲基黃（dimethyl yellow）之敘述：a.曾被用做人造奶油食用色素 b.動物實驗
發現其會致癌 c.屬用途限定食物染劑 d.訂定有限量標準，下列何者不正確？",a,cd,acd,abcd,B,
110,2021/11/6,保健食品概論,22,深井水中含有高濃度之砷物質可能與台灣南部沿海部分鄉鎮曾發生過的何種疾病有關？,豬頭皮（腮腺炎）,間質性腎炎,烏腳病（末梢血管病變）,眼睛黃斑部病變,C,
110,2021/10/2,保健食品概論,22,"下列物質：a.血紅素（heme） b.亞硝胺（nitrosamine） c.多環芳香烴（polycyclic aromatic 
hydrocarbons） d.異環胺（heterocyclic amines），何者為肉品中疑似易導致罹癌因子？",bc,abc,bcd,abcd,D,
110,2021/11/6,保健食品概論,23,有一可供食用之中藥材保健產品，欲申請健康食品認證，下列敘述何者為正確？,須為國產中藥材,需經衛福部中醫藥司同意,需有基原鑑定報告,沒有特定規範,C,
110,2021/10/2,保健食品概論,23,關於健康食品宣稱中有關木糖醇的牙齒保健功能，下列何者有誤？,有助於降低蛀牙的發生率,有助於減少口腔內的牙菌斑,有助於減少牙菌斑內突變形鏈球菌數量（Streptococcus mutans）,有助於減少牙周病,D,
110,2021/11/6,保健食品概論,24,"依據法規-紅麴健康食品規格標準，下列之敘述：a.產品除紅麴外之其他功效配方組成不
得超過 20%； b.所含之 citrinin 含量濃度應低於百萬分之二（2 ppm）； c.每日攝取量所含
monacolin K至少應達 15 毫克； d.應備有紅麴菌菌種鑑定報告。上述何者不正確？",a,bc,ac,bcd,C,
110,2021/10/2,保健食品概論,24,健康食品查驗登記採個案審查時：,依成分標準規格進行審查,審查費用為 5000 元,一般需耗時 30天,業者須檢具保健功效評估驗證,D,
110,2021/11/6,保健食品概論,25,"由黑麴菌絲體（Aspergillus niger mycelium）製備之食品原料幾丁聚醣（Chitosan），其中
何種毒素的含量應小於 1 ppb？",橘黴素（citrinin）,玉米赤黴毒素（zearalenone）,赭麴黴素-A（ochratoxin）,"伏馬黴素-B （fumonisin B ） 
1 1
 
 ",C,
110,2021/10/2,保健食品概論,25,下列何者不是目前國內健康食品認同的保健效果？,牙齒保健功能,抗疲勞功能,骨質保健功能,改善記憶功能 ,D,
110,2021/11/6,保健食品概論,26,依食品安全衛生管理法規定，下列有關含冬蟲夏草類產品之敘述何者錯誤？,冬蟲夏草可做為食品原料,產品須標示菌株之中文名稱及拉丁學名,使用之菌株須為中華被毛孢（Hirsutella sinensis）,以上皆非,A,
110,2021/10/2,保健食品概論,26,食品中添加「矽酸鈣」品質改良劑，使用限量為 2%以下，以下何者使用量不符規定？,膠囊每顆 500 mg中含有矽酸鈣 10 mg,每150 kg食品中含有矽酸鈣 1800 g,500顆錠狀食品（每顆 200 mg）總計含有矽酸鈣 2 g,每25 kg食品中含有矽酸鈣 6.5 kg,D,
110,2021/11/6,保健食品概論,27,食品原料受到甲基汞之汙染，可能引起下列何種器官毒性？,腦部,肺臟,肝臟,腎臟,A,
110,2021/10/2,保健食品概論,27,下列有關黴菌毒素特性之敘述，何者不正確？,是黴菌感染產生之副產物,在穀物或植物體中相當穩定,不受冷凍影響,遇熱會被分解,D,
110,2021/11/6,保健食品概論,28,"台灣南部沿海部分鄉鎮曾發生過所謂的烏腳病，此與長期飲用深井水有關，主要係因深井
水中含有高濃度之何種物質所致？",鎘,汞,鉛,砷,D,
110,2021/10/2,保健食品概論,28,"健康食品安全性評估類別：a.第一類 b.第二類 c.第三類 d.第四類，何者應進行基因毒
性試驗？",ab,bc,bcd,abcd,C,
110,2021/11/6,保健食品概論,29,毒性物質是否能進入腦部，下列何者是很重要的關鍵因素？,蛋白質,無機離子,酸鹼性,脂溶性,D,
110,2021/10/2,保健食品概論,29,"下列何種化學物質是屬於高碳水化合物食品在經過高溫油炸或烘焙過程後的產物且與食
物褐變的梅納反應密切相關？",丙烯醯胺,二硫化碳,聯苯胺,亞硝酸鹽,A,
110,2021/11/6,保健食品概論,30,下列工業原料中何者曾被作為起雲劑而用於飲料或食品中，造成民眾恐慌？,甲醇,多氯聯苯,鄰苯二甲酸二（2-乙基己基）酯,聯苯胺,C,
110,2021/10/2,保健食品概論,30,"申請健康食品認證，原則上非經傳統方式萃取、濃縮之傳統食用原料應歸為第幾類安全性
評估？",第一類,第二類,第三類,第四類 ,B,
110,2021/11/6,保健食品概論,31,日本曾發生之水俁病（Minamata disease）事件，是因何種化學物質汙染漁業食物所致？,有機錫,有機鎘,有機汞,有機砷,C,
110,2021/10/2,保健食品概論,31,香腸、臘肉等添加亞硝酸鹽是為了保色與防腐，其可以抑制下列何種細菌之形成？,肉毒桿菌,金黃葡萄球菌,綠膿桿菌,仙人掌桿菌,A,
110,2021/11/6,保健食品概論,32,申請健康食品認證，安全評估報告呈現之何種數值可供推算人體建議攝取量之安全性？,NOAEL,LOAEL,LD50,MOS,A,
110,2021/10/2,保健食品概論,32,世界衛生組織（WHO）將加工肉品，如培根、香腸、火腿跟熱狗列為第幾級致癌物？,1級,2A級,2B級,3級,A,
110,2021/11/6,保健食品概論,33,"健康食品安全性評估方法中動物 28 天及 90 天餵食試驗採用試驗物質混入飼料或飲水中
時，濃度不得超過多少%（w/w）？",1,5,10,15,B,
110,2021/10/2,保健食品概論,33,軟骨藻酸（domoic acid）可能與下列何種中毒事件有關？,麻痺性貝類中毒,失憶性貝類中毒,神經性貝類中毒,下痢性貝類中毒,B,
110,2021/11/6,保健食品概論,34,"台灣及日本皆曾發生過所謂的油症事件，是因米糠油製備過程受到何種化學物質汙染所致
之中毒事件？",多氯聯苯,戴奧辛,氯乙烯,聯苯胺,A,
110,2021/10/2,保健食品概論,34,下列有關食用油之敘述，何者錯誤？,大量煎炸食品時，以沙拉油較宜，豬油或動物性油脂較不適宜,植物油之不飽和脂肪酸含量較高，較具健康性,橄欖油適用涼拌或低溫拌炒,"用來油炸的油脂，發煙點應選用高於 200℃以上較為恰當 
Bor",A,
110,2021/11/6,保健食品概論,35,下列何種植物種子含有毒蛋白，其油品使用於食品時有法令規範？,沒食子,蓖麻子,五味子,牽牛花子 ,B,
110,2021/10/2,保健食品概論,35,下列有關食品添加物-銅葉綠素之敘述何者是正確的？,可添加於調味乳、湯類及不含酒精之調味飲料,為國際規範准許使用之食品添加物著色劑,各國均未准許使用於食用油脂產品中,以上皆是,C,
110,2021/11/6,保健食品概論,36,下列有關吊白塊（Rongalit）之敘述，何者錯誤？,為非法之食品漂白劑,含氰化物可能產生中毒,可能產生頭痛、眩暈、呼吸困難、嘔吐,以上皆非,B,
110,2021/10/2,保健食品概論,36,下列何種植物種子含有毒蛋白，其油品使用於食品時有法令規範？,沒食子,蓖麻子,五味子,牽牛花子 ,B,
110,2021/11/6,保健食品概論,37,失憶性（或健忘性）貝類中毒是下列何種海洋藻類之毒素所致？,藍綠藻,矽藻,微囊藻,渦鞭毛藻,B,
110,2021/10/2,保健食品概論,37,下列有關吊白塊（Rongalit）之敘述，何者錯誤？,為非法之食品漂白劑,含氰化物可能產生中毒,可能產生頭痛、眩暈、呼吸困難、嘔吐,以上皆非,B,
110,2021/11/6,保健食品概論,38,軟骨藻酸（domoic acid）可能與下列何種中毒事件有關？,麻痺性貝類中毒,失憶性貝類中毒,神經性貝類中毒,下痢性貝類中毒,B,
110,2021/10/2,保健食品概論,38,主管機關採行之食品安全管理措施是以下列何者為主要基礎考量？,毒性試驗,立法委員建議,多數民眾意見,風險評估,D,
110,2021/11/6,保健食品概論,39,下列有關食用油之敘述，何者錯誤？,大量煎炸食品時，以沙拉油較宜，豬油或動物性油脂較不適宜,植物油之不飽和脂肪酸含量較高，較具健康性,橄欖油適用涼拌或低溫拌炒,用來油炸的油脂，發煙點應選用高於 200℃以上較為恰當,A,
110,2021/10/2,保健食品概論,39,"下列工業原料中何者曾被使用於人造奶油，且其不當添加於食品中曾造成所謂毒豆干
事件？",喹啉黃,二甲基黃,檸檬黃,玉米黃素,B,
110,2021/11/6,保健食品概論,40,世界衛生組織（WHO）將加工肉品，如培根、香腸、火腿跟熱狗列為第幾級致癌物？,1 級,2A級,2B級,3 級,A,
110,2021/10/2,保健食品概論,40,"健康食品安全性評估方法中需使用所謂前置培養法或平板混合試驗法的是指下列何種
試驗？",體外哺乳類細胞基因毒性試驗,體外微生物基因突變試驗,體外骨髓細胞微核基因毒性試驗,以上皆非,B,
110,2021/11/6,保健食品概論,41,下列有關黴菌毒素特性之敘述，何者不正確？,是黴菌感染產生之副產物,在穀物或植物體中相當穩定,不受冷凍影響,遇熱會被分解 ,D,
110,2021/10/2,保健食品概論,41,"台灣及日本皆曾發生過所謂的油症事件，是因米糠油製備過程受到何種化學物質汙染所致
之中毒事件？",多氯聯苯,戴奧辛,氯乙烯,聯苯胺 ,A,
110,2021/11/6,保健食品概論,42,"健康食品安全性評估類別：a.第一類 b.第二類 c.第三類 d.第四類，何者應進行基因毒
性試驗？",ab,bc,bcd,abcd,C,
110,2021/10/2,保健食品概論,42,"下列何種實驗最常被使用於食品安全性評估中的""致突變試驗""？",染色體變異試驗,小鼠周邊血球微核試驗,安姆氏（Ames）試驗,DNA損傷確認試驗,C,
110,2021/11/6,保健食品概論,43,"下列何種化學物質是屬於高碳水化合物食品在經過高溫油炸或烘焙過程後的產物且與食
物褐變的梅納反應密切相關？",丙烯醯胺,二硫化碳,聯苯胺,亞硝酸鹽,A,
110,2021/10/2,保健食品概論,43,健康食品的安全性較不受下列何種因素影響？,原料來源,製造方式,設備價格,成分組成,C,
110,2021/11/6,保健食品概論,44,"申請健康食品認證，原則上非經傳統方式萃取、濃縮之傳統食用原料應歸為第幾類安全性
評估？",第一類,第二類,第三類,第四類,B,
110,2021/10/2,保健食品概論,44,缺乏碘時會產生下列何種病症？,Beriberi,Cretinism,Hemolytic anemia,Rickets,B,
110,2021/11/6,保健食品概論,45,一茶匙的液體卵磷脂可提供大約多少能量？,0 大卡路里,2 大卡路里,45 大卡路里,200 大卡路里,C,
110,2021/10/2,保健食品概論,45,下列何者是鈣攝取超出最高容許量（UL）的風險？,手足抽搐,萎縮性胃炎,維生素D缺乏症,腎結石的形成,D,
110,2021/11/6,保健食品概論,46,國人膳食營養素參考攝取量對鐵質的建議為何者正確？,10-18 歲男性與女性的建議攝取量相同,51 歲以上老化增加應增加攝取量,懷孕應從第一期開始每日增加 30 毫克,分娩後與成人期需求量相同 ,A,
110,2021/10/2,保健食品概論,46,國人膳食營養素參考攝取量對鐵質的建議為何者正確？,10-18歲男性與女性的建議攝取量相同,51歲以上老化增加應增加攝取量,懷孕應從第一期開始每日增加 30毫克,分娩後與成人期需求量相同,A,
110,2021/11/6,保健食品概論,47,下列有關於人體如何自行合成維生素之敘述，何者正確？,藉由葉黃素合成維生素 A，大部分儲存於肝臟,皮膚藉由日曬合成維生素 C，幫助調控血鈣,藉由色胺酸合成菸鹼素，食物烹煮時菸鹼素易流失,維生素 K可由結腸中細菌合成，滿足人體所需之 10%,D,
110,2021/10/2,保健食品概論,47,為了避免維生素攝取過量產生毒性的風險，綜合維生素和礦物質補充劑的劑量建議為何？,應少於每日參考值（DV）的兩倍,應少於上限攝取量（UL）的兩倍,應少於平均需要量（EAR）的兩倍,應少於包裝標示份量的兩倍 ,A,
110,2021/11/6,保健食品概論,48,"某人體重為 60 公斤，初估其基礎代謝率是每小時每公斤體重 0.9 大卡，若其過著靜態的
生活方式，則每日所需總能量約為多少大卡？",1200,1500,2100,2500,C,
110,2021/10/2,保健食品概論,48,下列有關於人體如何自行合成維生素之敘述，何者正確？,藉由葉黃素合成維生素 A，大部分儲存於肝臟,皮膚藉由日曬合成維生素 C，幫助調控血鈣,藉由色胺酸合成菸鹼素，食物烹煮時菸鹼素易流失,維生素K可由結腸中細菌合成，滿足人體所需之 10%,D,
110,2021/11/6,保健食品概論,49,下列何種蛋白中的鐵為儲存性鐵？,鐵蛋白,肌紅素,轉鐵蛋白,血紅素,A,
110,2021/10/2,保健食品概論,49,下列何種維生素的功能與能量釋放無直接關係？,"維生素B 
1",泛酸,菸鹼酸,"維生素B 
12",D,
110,2021/11/6,保健食品概論,50,以下何者是台灣十大死因？,禽流感,嚴重急性呼吸道症候群 SARS,糖尿病,缺鐵性貧血,C,
110,2021/10/2,保健食品概論,50,下列何者是鎂的主要功能？,運輸氧氣,預防貧血,能量代謝中的催化劑,甲狀腺激素的生產,C,
110,2021/11/6,保健食品概論,51,一個人的體重（kg）與身高（m2）的比值稱為：,身體質量指標,身高對體重指標,理想體重指標,期望的體重指標,A,
110,2021/10/2,保健食品概論,51,一個長期飢餓的人正在失去：,只有脂肪,只有肝醣,肝醣和脂肪,肝醣、蛋白質及脂肪,D,
110,2021/11/6,保健食品概論,52,下列何者可用來衡量一個人的腹部脂肪？,BMI,必須體脂肪,水中秤重法,腰圍 ,D,
110,2021/10/2,保健食品概論,52,下列何者不能用來製造身體蛋白質？,葡萄糖,甘油,脂肪酸,胺基酸,C,
110,2021/11/6,保健食品概論,53,[膳食營養素參考攝取量]可以簡稱為？,RDIs,IDFs,DRIs,RADs,C,
110,2021/10/2,保健食品概論,53,酒精攝取過量可能導致下列何種維生素缺乏？,維生素A,維生素C,菸鹼酸,維生素K,C,
110,2021/11/6,保健食品概論,54,純素食者最容易引起下列何種營養素缺乏？,"維生素 B 
1","維生素 B 
12",維生素 C,膳食纖維,B,
110,2021/10/2,保健食品概論,54,國人膳食營養素參考攝取量對 19歲以上的上限攝取量（UL）為何？,維生素A 1000 微克，維生素 C 2000 毫克，維生素E 3000 毫克,維生素A 1000 微克，維生素 C 3000 毫克，維生素E 2000 毫克,維生素A 3000 微克，維生素C 2000 毫克，維生素E 1000 毫克,維生素A 2000 微克，維生素 C 1000 毫克，維生素E 3000 毫克,C,
110,2021/11/6,保健食品概論,55,下列何者為必需脂肪酸？,Arachidonic acid,Eicosapentaenoic acid,Linoleic acid,Oleic acid,C,
